inci,nome_popular,sinonimos,categoria,funcao,comedogenicidade,tipos_de_pele,evitar_em,alertas,nivel_de_atencao
Carbomer,Carbomero,acrylates/c10-30 alkyl acrylate crosspolymer;carbomero,espessante,Polimero que transforma a formula em gel e mantem os ativos em suspensao.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Sodium Hydroxide,Hidroxido de sodio,naoh;triethanolamine;aminomethyl propanol;citric acid;acido citrico,ajuste_ph,Ajusta o pH final da formula para a faixa segura e eficaz.,0,oleosa;mista;seca;normal;sensivel;acneica,,seguro no produto final - reage e e neutralizado na formulacao,ok
Disodium EDTA,EDTA dissodico,tetrasodium edta;edta,quelante,Quelante que captura metais da agua e evita que a formula perca estabilidade.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Silica,Silica,silica dimethyl silylate;hydrated silica,absorvente,Po absorvente que controla o brilho e melhora o deslize de bases e primers.,1,oleosa;mista;normal;acneica,,,ok
Kaolin,Argila branca (caulim),caulim;argila branca;bentonite;montmorillonite;argila,absorvente,Argila que absorve sebo e impureza; base de mascaras de limpeza.,0,oleosa;mista;acneica,pele seca;uso muito frequente,ressecante em uso excessivo,ok
Charcoal Powder,Carvao ativado,activated charcoal;carbon black;carvao ativado,absorvente,Po absorvente usado em mascaras e sabonetes detox; efeito principalmente de superficie.,0,oleosa;mista;acneica,pele seca,apelo de marketing costuma superar a evidencia,ok
Mica,Mica,ci 77019;synthetic fluorphlogopite;mica sintetica,pigmento,Mineral que da brilho e efeito perolado a maquiagem e hidratantes iluminadores.,0,oleosa;mista;seca;normal;acneica,,questao de cadeia produtiva: prefira marcas com mica sintetica ou certificada,ok
Talc,Talco,talco,absorvente,Po mineral que da toque aveludado e controla brilho em produtos secos.,1,oleosa;mista;normal,produto em po solto usado perto das vias respiratorias,exige grau cosmetico livre de asbesto,atencao
Sodium Chloride,Cloreto de sodio (sal),sal,espessante,Ajusta a viscosidade de shampoos e sabonetes liquidos.,0,oleosa;mista;normal,cabelo com progressiva ou alisamento (pode acelerar a perda do efeito),,ok
Zea Mays Starch,Amido de milho,corn starch;maize starch;oryza sativa starch;amido,absorvente,"Po vegetal absorvente, alternativa natural ao talco.",1,oleosa;mista;normal,pele com tendencia a fungo ou foliculite,amido pode servir de substrato para fungo em pele oclusa,ok
Colloidal Oatmeal,Aveia coloidal,avena sativa kernel flour;oat kernel extract;aveia,calmante,Acalma coceira e vermelhidao; classica em dermatite atopica e pele de bebe.,0,seca;normal;sensivel,alergia a aveia,,ok
Lactobacillus Ferment,Fermento probiotico,bifida ferment lysate;lactococcus ferment lysate;saccharomyces ferment filtrate;galactomyces ferment filtrate;probiotico,calmante,"Fermentado que apoia o microbioma cutaneo, a barreira e a luminosidade.",0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Adenosine,Adenosina,,ativo,Ativo antirrugas aprovado como funcional na Coreia; suaviza linhas e melhora elasticidade.,0,oleosa;mista;seca;normal;sensivel;madura,,,ok
Snail Secretion Filtrate,Baba de caramujo,snail mucin;baba de caramujo,reparador,"Filtrado rico em glicoproteinas; hidrata, acalma e apoia a reparacao da pele.",0,oleosa;mista;seca;normal;sensivel;acneica,preferencia por cosmetico vegano,ingrediente de origem animal,ok
Behentrimonium Chloride,Cloreto de behentrimonio,cetrimonium chloride;behentrimonium methosulfate;quaternizantes,condicionante,Quaternizante que desembaraca e alinha a fibra capilar; base de condicionadores.,0,normal,contato prolongado com a pele do rosto,produto para cabelo - pode obstruir poros se escorrer nas costas,ok
Amodimethicone,Amodimeticona,silicone capilar,silicone,Silicone com afinidade pela fibra danificada; sela cuticula e reduz frizz.,0,normal,,acumula em cabelo de baixa porosidade - alterne com limpeza profunda,ok
Hydrolyzed Keratin,Queratina hidrolisada,hydrolyzed wheat protein;hydrolyzed collagen;hydrolyzed silk;proteina hidrolisada,reconstrutor,Proteina de baixo peso molecular que preenche falhas na fibra capilar.,0,normal,cabelo ja com excesso de proteina (rigido e quebradico),excesso causa cabelo duro e sem elasticidade,ok
Formaldehyde,Formaldeido,formalin;formol;methylene glycol;formaldeido,restrito,Usado ilegalmente em alisamentos capilares; proibido para essa finalidade no Brasil.,0,,qualquer uso em alisamento;gestacao;ambiente sem exaustao,PROIBIDO como alisante pela ANVISA;carcinogeno classificado pela IARC;causa irritacao respiratoria e ocular grave,cuidado
